facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
OR-F00021,Washington,0,0,0,9,0,9,0,0,0,,,,ok
OR-F00241,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00291,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00603,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00131,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00065,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00183,Washington,0,0,0,4,0,4,0,0,0,,,,ok
OR-F00751,Washington,3,0,0,5,0,8,0,0,0,,,,ok
OR-F00152,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00245,Washington,4,1,0,1,0,5,0,0,0,,,,ok
OR-F00433,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00448,Washington,6,0,3,11,0,20,0,0,3,,,,ok
OR-F00527,Washington,4,1,0,3,0,7,0,0,0,,,,ok
OR-F00489,Washington,4,2,0,3,0,7,0,0,0,,,,ok
OR-F00212,Washington,0,0,0,15,0,15,0,0,0,,,,ok
OR-F00297,Washington,3,0,0,7,0,10,0,0,0,,,,ok
OR-F00674,Washington,2,0,0,36,0,38,0,0,0,,,,ok
OR-F00202,Washington,0,0,0,13,0,13,0,0,0,,,,ok
OR-F00648,Washington,3,0,1,5,0,9,0,0,1,,,,ok
OR-F00607,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00160,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00198,Washington,0,0,1,118,0,119,0,0,1,,,,ok
OR-F00331,Washington,2,0,1,20,0,23,0,0,1,,,,ok
OR-F00392,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00175,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00628,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00506,Washington,6,3,0,2,0,8,0,0,0,,,,ok
OR-F00167,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00189,Washington,0,0,0,4,0,4,0,0,0,,,,ok
OR-F00617,Washington,4,1,0,2,0,6,0,0,0,,,,ok
OR-F00606,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00690,Washington,4,0,0,0,0,4,0,0,0,,,,ok
OR-F00649,Washington,5,2,1,26,0,32,0,0,1,,,,ok
OR-F00341,Washington,3,0,1,13,0,17,0,0,1,,,,ok
OR-F00657,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00652,Washington,4,1,0,6,0,10,0,0,0,,,,ok
OR-F00350,Washington,3,0,2,13,0,18,0,0,2,,,,ok
OR-F00548,Washington,2,0,0,0,0,2,0,0,0,,,,ok
OR-F00162,Washington,7,3,1,9,0,17,0,0,1,,,,ok
OR-F00236,Washington,8,3,1,8,0,17,0,0,1,,,,ok
OR-F00713,Washington,11,3,1,7,0,19,0,0,1,,,,ok
OR-F00769,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00125,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00488,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00038,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00468,Washington,4,0,0,0,0,4,0,0,0,,,,ok
OR-F00702,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00423,Washington,5,1,1,2,0,8,0,0,1,,,,ok
OR-F00770,Washington,2,0,0,1,0,3,0,0,0,,,,ok
OR-F00611,Washington,7,2,1,8,0,16,0,0,1,,,,ok
OR-F00591,Washington,4,2,1,2,0,7,0,0,1,,,,ok
OR-F00066,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00425,Washington,4,2,1,10,0,15,0,0,1,,,,ok
OR-F00465,Washington,5,1,0,2,0,7,0,0,0,,,,ok
OR-F00376,Washington,3,0,0,5,0,8,0,0,0,,,,ok
OR-F00694,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00494,Washington,4,1,0,0,0,4,0,0,0,,,,ok
OR-F00559,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00650,Washington,3,0,1,33,0,37,0,0,1,,,,ok
OR-F00345,Washington,5,2,2,43,0,50,0,0,2,,,,ok
OR-F00127,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00343,Washington,5,3,0,13,0,18,0,0,0,,,,ok
OR-F00057,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00582,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00085,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00469,Washington,5,1,0,1,0,6,0,0,0,,,,ok
OR-F00191,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00709,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00421,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00126,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00243,Washington,4,1,0,1,0,5,0,0,0,,,,ok
OR-F00574,Washington,6,4,2,84,0,92,0,0,2,,,,ok
OR-F00663,Washington,4,2,3,64,0,71,0,0,3,,,,ok
OR-F00539,Washington,5,0,0,1,0,6,0,0,0,,,,ok
OR-F00764,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00138,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00708,Washington,0,0,0,4,0,4,0,0,0,,,,ok
OR-F00042,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00732,Washington,4,0,0,1,0,5,0,0,0,,,,ok
OR-F00023,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00165,Washington,2,0,0,0,0,2,0,0,0,,,,ok
OR-F00579,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00068,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00040,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00414,Washington,7,5,1,15,0,23,0,0,1,,,,ok
OR-F00788,Washington,3,2,0,0,0,3,0,0,0,,,,ok
OR-F00252,Washington,6,1,0,1,0,7,0,0,0,,,,ok
OR-F00223,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00682,Washington,10,8,5,69,0,84,0,0,5,,,,ok
OR-F00677,Washington,3,0,0,38,0,41,0,0,0,,,,ok
OR-F00636,Washington,5,2,0,25,0,30,0,0,0,,,,ok
OR-F00313,Washington,4,1,0,25,0,29,0,0,0,,,,ok
OR-F00413,Washington,3,0,0,3,0,6,0,0,0,,,,ok
