facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
OR-F00528,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,1,0,7,0,0,0,11,,,1,1,
OR-F00184,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,1,0,3,0,0,0,9,,,1,1,
OR-F00104,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00757,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,0,0,0,0,1,,,1,1,
OR-F00727,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,0,0,0,0,1,,,1,1,
OR-F00396,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,3,0,0,0,6,,,1,1,
OR-F00142,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,0,0,0,0,1,,,1,1,
OR-F00567,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00572,Open,Washington,56,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,3,0,0,73,0,0,0,76,,,1,1,
OR-F00616,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,1,0,0,0,2,,,1,1,
OR-F00512,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00107,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00140,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,2,0,4,0,0,0,9,,,1,2,OR013
OR-F00595,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,2,0,3,0,0,0,8,,,1,2,OR013
OR-F00075,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00366,Open,Washington,123,"RCF, Memory Care",,,,2026-07-06,No/Unknown,0,0,0,8,0,0,0,8,,,1,1,
OR-F00462,Open,Washington,2,AFH,,,,2026-07-06,No/Unknown,3,0,0,1,0,0,0,4,,,1,1,
OR-F00368,Open,Washington,107,ALF,,,,2026-07-06,No/Unknown,0,0,0,1,0,0,0,1,,,2,2,OR049
OR-F00367,Open,Washington,28,"RCF, Memory Care",,,,2026-07-06,No/Unknown,0,0,0,2,0,0,0,2,,,2,2,OR049
