facility_id,County,Licensed_Capacity,Medicaid_Contract_Flag,Specialty,Contract,n_inspections,n_investigations,n_enforcement,n_civil_fines,n_stop_placement,n_conditions,phone_shared_count,RF03_multi_home_operator,RF08_network_cluster,high_complaint_load,has_enforcement,has_stop_placement,has_condition,RF06_exclusion_match,latest_enforcement_year
OR-F00563,Washington,5,No/Unknown,AFH,,4,0,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00278,Washington,5,No/Unknown,AFH,,5,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00403,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00528,Washington,5,Yes,AFH,Medicaid,4,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00184,Washington,5,Yes,AFH,Medicaid,6,1,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00104,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00757,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00727,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00396,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00142,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00567,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00572,Washington,56,Yes,"RCF, Memory Care",Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00616,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00512,Washington,5,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00107,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00140,Washington,5,Yes,AFH,Medicaid,5,2,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00595,Washington,5,Yes,AFH,Medicaid,5,2,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00075,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00366,Washington,123,No/Unknown,"RCF, Memory Care",,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00462,Washington,2,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00368,Washington,107,No/Unknown,ALF,,0,0,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00367,Washington,28,No/Unknown,"RCF, Memory Care",,0,0,0,0,0,0,2,True,False,False,False,False,False,False,
OR-F00464,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00707,Washington,3,No/Unknown,AFH,,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00658,Washington,75,Yes,ALF,Medicaid,12,10,4,0,0,4,1,False,False,True,True,False,True,False,
OR-F00058,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00232,Washington,5,Yes,AFH,Medicaid,2,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00019,Washington,5,No/Unknown,AFH,,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00109,Washington,5,Yes,AFH,Medicaid,0,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00581,Washington,5,No/Unknown,AFH,,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00158,Washington,5,Yes,AFH,Medicaid,1,0,0,0,0,0,1,False,False,False,False,False,False,False,
OR-F00558,Washington,4,Yes,AFH,Medicaid,3,0,0,0,0,0,1,False,False,False,False,False,False,False,
